Unnamed: 0,SproutN,BunchN,GrapeW,WoodW,SPAD06,NDVI06,SPAD08,NDVI08,Acid,Potass,Brix,pH,Anthoc,Polyph
21,-0.346184185640475,-0.528339364697626,-0.86346496841801,-0.617427735624025,-0.106392276263979,0.0508231046369187,-0.198278449789095,0.0452047772878718,0.0375510548962752,-0.00120964844363373,0.10453903807678999,-0.0380025064908282,0.4991803503077079,0.251336385766599
46,-0.15303128979477898,-0.40098008219535103,-0.363442551313091,0.20696996368870899,0.00642147147178627,0.194551330728853,0.04444791312325,0.00338246141014739,0.00264152505382827,-0.296872268203825,0.00321758913365245,0.009141288651464059,-0.008537252498248141,-0.238322530483031
68,-0.030384783586979998,0.0154312272068192,0.8402537781246721,-0.279057598468539,0.000162806477984325,0.105887558389589,0.0898269766393869,-0.0646574213400529,-0.0912711199868187,0.0696809684437858,-0.104756620414017,0.00855395343335007,-0.288624724581394,-0.0965973146800195
90,-0.10003377102930099,-0.836594422340163,-0.620348980767276,0.0635807854825429,0.0468565287315766,0.007490495300166209,0.11594145519369001,0.109237904462348,0.00442151364948126,0.34902482289528897,-0.0442645346512952,0.0305961952025382,-0.5032293024906951,-0.0929767335618037
99,-0.0213817156542717,0.200723650940901,-0.249094335208418,-0.370807317419883,-0.137171781035021,-0.19063820653928898,-0.17008758175994798,-0.0025598995189245,0.0856514364835847,0.0563912238698063,-0.0432436850405472,-0.00647419733346316,0.30848664145288107,0.23503590994124
111,-0.0449250148921168,-0.433719398983167,-0.564125908633778,-0.475561257879508,0.0278224407804495,-0.0640304672040563,0.0147767069157526,-0.127780469024487,0.089348564292605,0.0113136535106499,-0.053376911098355996,-0.0349893258498974,0.767308422581646,0.309204261159607
114,-0.099487899424731,0.36684611712085,-0.47586053679227397,-0.527662976049331,-0.009679724450502929,0.0821259454951052,-0.0975733526092549,-0.0755777083857834,-0.0553324125282152,-0.0038517672355611,0.0907855440894303,0.0122390426927017,0.0936887603290798,0.0894047990624259
139,-0.20878924166755802,-0.3362052307909051,-0.3989044918789911,0.3760706653512079,0.135940227186248,0.0137558031074732,0.0103235005370018,-0.16636298076137698,0.27979631827980606,0.0314414386798964,-0.10357524231192099,-0.0465068869360808,-0.4539197287216721,-0.20678643655350598
174,-0.0277225584490347,0.279633463759968,-0.0543648764316819,-0.172336704741246,0.0230014651887598,0.0510655641930427,-0.0423121154155558,-0.0720134542109574,0.123749408615753,-0.146611149993603,-0.0326594470884038,-0.0268130832322196,-0.214187142570454,-0.220592782861299
176,-0.230339166981062,-0.187352788629191,-0.258734965232307,-0.340379820061192,0.00118244616753622,-0.0384061326895792,-0.0242483146281333,-0.145172062662383,0.108550810237291,0.12226546575226199,0.056261652464763,0.00152171156006648,0.17898933857591198,0.0945690610399627
196,-0.194232034547708,0.0992008785827317,0.24870111354015897,-0.0456124808997003,0.00363825803839933,-0.0201831533269618,-0.0458107075423956,-0.20180407780735102,0.0590644304109842,0.18742543319470498,-0.0779939436019562,-0.0251078039229028,-0.27820221726126,-0.128269179131449
216,-0.0174676884956826,-0.135142044218075,-0.34712548106714003,-0.48403763674780703,-0.00105402997327098,-0.064214802776895,-0.133983108157513,0.0516434627546226,-0.0591849172721786,-0.0983306397886066,-0.0303703201853923,-0.0233113216048289,0.5196375943624559,0.18938816504599304
247,-0.133873602902996,-0.506059781199094,-0.46043237814885996,-0.0835683302898793,0.105182669131493,-0.0756660994152817,0.0254409683670432,-0.0436636902114974,-0.0298442296640268,-0.26260258124421204,-0.0565883406889724,-0.00809015213459858,-0.0444792895531742,0.15678245801163698
262,-0.0883520827411483,0.35676124070708504,0.20333975159899,0.920830152536405,0.127446729470538,0.0299943620598425,-0.0494745605446384,0.0572161304119625,-0.260853726364181,-0.24413503337481196,0.0367572255496776,0.0546084574419786,-0.20149581408895803,-0.230572558400123
